X,Y,Z
458281.96,3640141.46,13.41
458280.84,3640141.45,6.5200000000000005
458281.86,3640141.47,15.33
458281.54,3640141.47,13.38
458280.5,3640141.47,6.97
458282.7,3640141.5,25.37
458282.69,3640141.51,27.92
458282.14,3640141.51,24.810000000000002
458279.18,3640141.5,6.69
458282.46,3640141.52,29.25
458281.74,3640141.52,25.02
458282.03,3640141.53,29.34
458281.43,3640141.53,25.8
458281.22,3640141.53,24.53
458281.57,3640141.54,29.28
458281.45,3640141.54,28.64
458280.62,3640141.54,23.55
458281.01,3640141.55,28.48
458280.77,3640141.55,27.02
458280.67,3640141.56,28.96
458280.41000000003,3640141.56,27.330000000000002
458280.84,3640141.56,32.660000000000004
458280.62,3640141.56,31.28
458280.41000000003,3640141.57,30.02
458280.1,3640141.57,28.14
458280.42,3640141.57,32.77
458280.2,3640141.57,31.46
458279.81,3640141.58,29.150000000000002
458280.16000000003,3640141.58,33.72
458279.9,3640141.58,32.17
458279.46,3640141.59,29.5
458279.7,3640141.59,33.59
458279.4,3640141.59,31.8
458278.27,3640141.6,24.86
458279.24,3640141.6,33.5
458278.83,3640141.6,30.96
458278.3,3640141.61,27.72
458278.01,3640141.61,25.97
458277.7,3640141.61,24.18
458277.35,3640141.61,22.18
458276.98,3640141.61,20.09
458278.51,3640141.61,31.7
458277.93,3640141.62,28.240000000000002
458276.85,3640141.62,22.05
458276.47,3640141.62,19.8
458278.12,3640141.62,31.78
458277.54,3640141.63,28.37
458276.42,3640141.63,22.02
458275.95,3640141.63,19.18
458277.7,3640141.63,31.84
458277.13,3640141.64,28.64
458277.38,3640141.64,32.410000000000004
458277.08,3640141.64,30.72
458275.85,3640141.65,23.48
458275.25,3640141.65,19.87
458276.35,3640141.66,29.03
458275.41000000003,3640141.66,23.27
458275.94,3640141.67,29.150000000000002
458275.43,3640141.67,26.05
458275.02,3640141.67,23.740000000000002
458275.58,3640141.68,29.41
458275.33,3640141.68,27.98
458275.25,3640141.68,30.07
458275.05,3640141.69,28.900000000000002
458274.84,3640141.69,27.68
458274.81,3640141.7,30.02
458274.57,3640141.7,28.61
458274.55,3640141.71,30.900000000000002
458274.34,3640141.72,29.72
458273.71,3640141.71,25.98
458271.53,3640141.71,13.030000000000001
458274.09,3640141.72,30.86
458273.87,3640141.73,29.57
458273.39,3640141.73,26.68
458273.63,3640141.73,30.73
458272.87,3640141.74,26.240000000000002
458270.68,3640141.73,13.17
458272.51,3640141.75,26.5
458270.27,3640141.74,13.05
458269.62,3640141.74,9.1
458271.7,3640141.76,24.36
458271.54,3640141.76,23.42
458270.03,3640141.77,16.830000000000002
458269.35,3640141.76,12.8
458269.17,3640141.76,11.71
458269.59,3640141.78,16.86
458268.92,3640141.78,12.950000000000001
458268.31,3640141.78,9.25
458269.19,3640141.79,16.87
458270.12,3640141.8,24.830000000000002
458269.63,3640141.81,24.22
458268.43,3640141.81,17.150000000000002
458268.29,3640141.81,16.36
458267.86,3640141.81,13.77
458268.4,3640141.82,19.43
458267.92,3640141.82,16.580000000000002
458267.5,3640141.82,14.05
458267.14,3640141.82,11.9
458266.65,3640141.82,9.08
458268.98,3640141.83,25.330000000000002
458268.37,3640141.83,21.71
458268.55,3640141.84,25.26
458266.27,3640141.84,11.82
458265.98,3640141.84,10.16
458268.18,3640141.85,25.61
458267.8,3640141.86,25.69
458265.38,3640141.86,11.540000000000001
458267.4,3640141.87,25.66
458267.29,3640141.87,25.0
458266.81,3640141.88,24.75
458266.69,3640141.88,24.080000000000002
458266.37,3640141.89,24.8
458266.19,3640141.89,23.78
458265.95,3640141.89,22.34
458264.15,3640141.89,11.74
458263.98,3640141.89,10.72
458265.56,3640141.9,22.42
458263.7,3640141.9,11.46
458265.27,3640141.91,23.28
458265.07,3640141.91,22.09
458263.22,3640141.91,11.17
458262.71,3640141.91,8.15
458262.9,3640141.92,11.73
458262.79,3640141.92,11.05
458262.58,3640141.92,9.85
458262.1,3640141.93,9.61
458261.55,3640141.93,6.3500000000000005
458262.14,3640141.97,16.79
